date,ASML,AVGO,EQIX,GOOGL,ISRG,JPM,LIN,LLY,MSFT,NVO,PLD,RELX,ROP,SPGI,SPY,TDG,TSM,UNH
2024-05-23,0.0129236712,0.0007541209,-0.0178254557,-0.0160448536,-0.0062608613,-0.0070091622,-0.0057270245,0.0068998922,-0.0081760374,0.0114901316,-0.0327779734,-0.0045086410,-0.0051694995,-0.0136108689,-0.0073041555,0.0034158913,0.0060197902,-0.0086696783
2024-05-24,0.0235161700,0.0104429008,-0.0018370686,0.0082972092,0.0162152444,0.0192464278,0.0075642722,-0.0012616359,0.0074004143,0.0034666773,-0.0084247649,0.0120018676,0.0000733786,0.0044925259,0.0066165101,0.0147214074,0.0185244570,-0.0167560380
2024-05-28,0.0372613249,0.0032745960,0.0033806027,0.0080575783,-0.0094356114,-0.0060287039,-0.0129715177,0.0005323178,0.0003719720,-0.0144074200,0.0023866110,-0.0226001362,-0.0213711361,-0.0165205519,0.0006987273,-0.0239724371,-0.0036874763,-0.0088356282
2024-05-29,-0.0342490400,-0.0154200033,-0.0113045287,-0.0028344331,-0.0065581251,-0.0069674330,-0.0086992122,0.0045430164,-0.0026724195,-0.0104416225,0.0000000000,-0.0064102174,-0.0039022083,-0.0119277729,-0.0070024549,-0.0042868728,-0.0318047486,-0.0376427866
2024-05-30,0.0086023542,-0.0191202911,0.0008025795,-0.0215462116,0.0125251527,0.0061583598,0.0092213187,0.0043498171,-0.0337861150,0.0009044839,0.0244762237,-0.0013825846,-0.0082119190,-0.0079301401,-0.0066338231,0.0072849566,-0.0089412268,-0.0063336291
2024-05-31,-0.0059725067,-0.0260469447,0.0030895557,0.0022659454,-0.0031483663,0.0165554157,0.0125782065,0.0064781302,0.0011093115,0.0186746502,0.0271451747,0.0143055099,0.0117361913,0.0140421472,0.0091080778,0.0161742372,-0.0125524135,0.0284852921
2024-06-03,0.0053417842,-0.0050054539,-0.0150987496,0.0038841304,0.0043270423,-0.0039974959,-0.0027324387,0.0133114091,-0.0038783627,0.0025133805,-0.0279663258,-0.0013647915,0.0063818336,0.0040934261,0.0008156353,-0.0030075939,0.0258872179,0.0041788149
2024-06-04,-0.0151943670,0.0067478749,0.0175923382,0.0035800968,0.0068092906,-0.0131799662,-0.0041574787,0.0016000127,0.0061665300,0.0317063123,0.0127559969,0.0191343694,0.0135034363,0.0060103674,0.0011177416,0.0012246048,-0.0160050715,0.0161827928
2024-06-05,0.0952134006,0.0618190651,-0.0079379772,0.0093216814,0.0261430001,-0.0095401126,0.0091387024,-0.0009968588,0.0190834556,0.0077187329,-0.0002758266,0.0098346032,0.0064776186,0.0103047659,0.0118851668,0.0160124698,0.0685379231,-0.0046884289
2024-06-06,0.0108225617,-0.0083646596,0.0055629075,0.0075252795,0.0021810078,-0.0017743864,-0.0028272600,0.0066485871,0.0012026477,0.0099290518,0.0116792805,0.0050907798,0.0062897891,-0.0037361007,-0.0000185923,-0.0202965694,-0.0052170995,-0.0023851015
2024-06-07,-0.0229808412,0.0038323108,-0.0123748657,-0.0128445172,-0.0012914231,0.0154385180,-0.0003456759,0.0151680025,-0.0015781170,0.0033706369,0.0017271370,-0.0121119826,0.0066685071,-0.0136197644,-0.0012157750,-0.0184692281,0.0143147683,-0.0223741284
